"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","185","272","313","390","399","431","494","Epi_ref"
"group_1507","","hypothetical protein","2","2","1","2","1988","3","77","","458","458","458","","","","","HCLGMOMD_00494","","PILLALAE_00460",""
"glpE_2","","Thiosulfate sulfurtransferase GlpE","2","2","1","2","63","1","430","","1070","1070","1070","","","","","HCLGMOMD_02231","","","ECPKFHDG_00133"
"group_1582","","hypothetical protein","2","2","1","2","153","1","199","","485","485","485","","","","","","PNEBEOAF_00051","","ECPKFHDG_00128"
"group_1593","","hypothetical protein","2","2","1","2","1942","2","112","","179","179","179","","","","","","PNEBEOAF_01747","PILLALAE_00565",""
"group_1595","","hypothetical protein","2","2","1","2","800","2","125","","4496","4496","4496","","","","","","PNEBEOAF_01759","PILLALAE_00552",""
"group_1597","","hypothetical protein","2","2","1","2","806","2","137","","629","629","629","","","","","","PNEBEOAF_01763","PILLALAE_00548",""
"group_1598","","hypothetical protein","2","2","1","2","805","2","138","","404","404","404","","","","","","PNEBEOAF_01764","PILLALAE_00547",""
"group_1599","","hypothetical protein","2","2","1","2","808","2","141","","341","341","341","","","","","","PNEBEOAF_01767","PILLALAE_00544",""
"group_1603","","hypothetical protein","2","2","1","2","812","2","100","","446","446","446","","","","","","PNEBEOAF_01775","PILLALAE_00537",""
"group_1607","","hypothetical protein","2","2","1","2","388","2","158","","185","185","185","","","","","","PNEBEOAF_01784","PILLALAE_00528",""
"group_1612","","hypothetical protein","2","2","1","2","325","2","234","","215","215","215","","","","","","PNEBEOAF_01797","PILLALAE_00516",""
"group_1613","","hypothetical protein","2","2","1","2","324","2","192","","203","203","203","","","","","","PNEBEOAF_01798","PILLALAE_00515",""
"group_1614","","hypothetical protein","2","2","1","2","323","2","193","","488","488","488","","","","","","PNEBEOAF_01799","PILLALAE_00514",""
"group_1621","","hypothetical protein","2","2","1","2","310","2","206","","167","167","167","","","","","","PNEBEOAF_01806","PILLALAE_00507",""
"group_1622","Int-Tn","Tyrosine recombinase XerC","2","2","1","2","730","2","207","","1049","1049","1049","","","","","","PNEBEOAF_01808","PILLALAE_00505",""
"group_1625","","hypothetical protein","2","2","1","2","2953","1","392","","164","164","164","","","","","","PNEBEOAF_02299","PILLALAE_02361",""
"group_201","slyA","hypothetical protein","2","2","1","2","847","10","6","","122","419","270","","JABOOPHC_01637","","PLNEIAEP_00683","","","",""
"group_212","yclQ_2","Petrobactin-binding protein YclQ","2","2","1","2","662","44","2","","419","1043","731","","","","PLNEIAEP_00405","HCLGMOMD_00420","","",""
"group_214","yclO","hypothetical protein","2","2","1","2","658","46","2","","185","959","572","","","","PLNEIAEP_00402","HCLGMOMD_00417","","",""
"group_220","pdxK_2","Pyridoxine kinase","2","2","1","2","498","35","3","","170","830","500","","","","PLNEIAEP_00248","HCLGMOMD_00258","","",""
"group_2282","","IS110 family transposase ISSep2","2","2","1","2","2682","3","8","","1073","1073","1073","AJPKBNED_02314","","OAPGLPBN_00517","","","","",""
"group_2284","","IS110 family transposase ISSep2","2","2","1","2","2667","266","1","","1073","1073","1073","","","OAPGLPBN_00504","","","","","ECPKFHDG_00603"
"group_2286","","IS110 family transposase ISSep2","2","2","1","2","1109","16","4","","1073","1073","1073","","","OAPGLPBN_00933","","","","","ECPKFHDG_01039"
"group_2293","","IS110 family transposase ISSep2","2","2","1","2","859","249","1","","1073","1073","1073","","JABOOPHC_01386","","","","PNEBEOAF_01370","",""
"group_23","","IS1182 family transposase ISSep1","2","2","1","2","2985","1","135","","296","1694","995","","","","PLNEIAEP_02449","","","","ECPKFHDG_00092"
"group_230","yknY","putative ABC transporter ATP-binding protein YknY","2","2","1","2","2756","47","2","","407","686","546","","","","PLNEIAEP_00015","","PNEBEOAF_02284","",""
"group_2311","","IS110 family transposase ISSep2","2","2","1","2","848","86","1","","1073","1073","1073","AJPKBNED_01614","","","","","","PILLALAE_00748",""
"group_235","","hypothetical protein","2","2","1","2","2812","1","466","","89","89","89","","","","PLNEIAEP_02301","","","","ECPKFHDG_00041"
"group_253","","hypothetical protein","2","2","1","2","15","1","68","","2480","3116","2798","","","","","HCLGMOMD_02203","PNEBEOAF_00073","",""
"group_256","","hypothetical protein","2","2","1","2","77","1","213","","422","665","543","AJPKBNED_00068","","","","HCLGMOMD_02262","","",""
"group_2751","","hypothetical protein","2","2","1","2","880","263","1","","155","155","155","","","OAPGLPBN_00998","","","","","ECPKFHDG_01102"
"group_2752","","hypothetical protein","2","2","1","2","1241","95","1","","155","155","155","AJPKBNED_01124","","","","","","PILLALAE_01237",""
"group_2757","","IS3 family transposase ISSau4","2","2","1","2","2356","226","1","","314","314","314","","JABOOPHC_00275","","","","PNEBEOAF_00254","",""
"group_2762","","IS3 family transposase ISSau4","2","2","1","2","670","225","1","","314","314","314","","JABOOPHC_01852","","","","PNEBEOAF_01898","",""
"group_2769","","IS3 family transposase ISSau4","2","2","1","2","2387","226","2","","842","842","842","","JABOOPHC_00276","","","","PNEBEOAF_00255","",""
"group_2774","","IS3 family transposase ISSau4","2","2","1","2","669","225","2","","842","842","842","","JABOOPHC_01853","","","","PNEBEOAF_01897","",""
"group_2897","","IS1182 family transposase ISSep1","2","2","1","2","2104","3","7","","1679","1679","1679","AJPKBNED_00575","","OAPGLPBN_00518","","","","",""
"group_2898","","IS1182 family transposase ISSep1","2","2","1","2","2685","3","118","","1673","1673","1673","AJPKBNED_02313","","","","","","PILLALAE_00067",""
"group_2900","","IS1182 family transposase ISSep1","2","2","1","2","1918","258","1","","1673","1673","1673","","","OAPGLPBN_01710","","","","","ECPKFHDG_01813"
"group_3224","","IS6 family transposase IS431R","2","2","1","2","151","1","197","","674","674","674","","","","PLNEIAEP_02272","","PNEBEOAF_02354","",""
"group_3225","","IS6 family transposase IS431R","2","2","1","2","2987","1","140","","674","674","674","","","","PLNEIAEP_02450","","","","ECPKFHDG_00087"
"group_3268","","hypothetical protein","2","2","1","2","2327","245","1","","155","155","155","","JABOOPHC_00526","","","","PNEBEOAF_00505","",""
"zupT_2","","Zinc transporter ZupT","2","2","1","2","636","38","3","","440","473","456","AJPKBNED_02008","JABOOPHC_01882","","","","","",""
"fbe_2","","Serine-aspartate repeat-containing protein G","2","2","1","2","424","45","2","","185","3290","1737","","JABOOPHC_02111","","PLNEIAEP_00229","","","",""
"group_45","","hypothetical protein","2","2","1","2","883","264","1","","836","7595","4215","","","OAPGLPBN_00957","","HCLGMOMD_01316","","",""
"group_5","","IS6 family transposase IS431mec","2","2","1","2","144","1","194","","365","599","482","","","","PLNEIAEP_02269","","PNEBEOAF_02359","",""
"group_56","xerC_1","Tyrosine recombinase XerC","2","2","1","2","241","3","58","","1115","1115","1115","AJPKBNED_01938","","","","","","PILLALAE_00442",""
"group_594","","hypothetical protein","2","2","1","2","785","2","39","","1880","1880","1880","AJPKBNED_01694","JABOOPHC_02016","","","","","",""
"group_595","","hypothetical protein","2","2","1","2","780","2","44","","1460","1460","1460","AJPKBNED_01699","JABOOPHC_02021","","","","","",""
"group_596","","hypothetical protein","2","2","1","2","777","2","47","","344","344","344","AJPKBNED_01702","JABOOPHC_02024","","","","","",""
"group_597","","hypothetical protein","2","2","1","2","776","2","48","","359","359","359","AJPKBNED_01703","JABOOPHC_02025","","","","","",""
"group_598","","hypothetical protein","2","2","1","2","768","2","54","","302","302","302","AJPKBNED_01707","JABOOPHC_02030","","","","","",""
"group_599","","hypothetical protein","2","2","1","2","767","2","55","","329","329","329","AJPKBNED_01708","JABOOPHC_02031","","","","","",""
"group_600","","hypothetical protein","2","2","1","2","766","2","56","","269","269","269","AJPKBNED_01709","JABOOPHC_02032","","","","","",""
"group_601","","hypothetical protein","2","2","1","2","764","2","60","","605","605","605","AJPKBNED_01711","JABOOPHC_02034","","","","","",""
"group_602","","hypothetical protein","2","2","1","2","760","2","64","","1532","1532","1532","AJPKBNED_01715","JABOOPHC_02038","","","","","",""
"group_603","","hypothetical protein","2","2","1","2","335","2","72","","386","398","392","AJPKBNED_01722","JABOOPHC_02042","","","","","",""
"group_604","","hypothetical protein","2","2","1","2","346","2","77","","353","353","353","AJPKBNED_01731","JABOOPHC_02047","","","","","",""
"group_617","","hypothetical protein","2","2","1","2","1997","3","95","","554","554","554","AJPKBNED_01923","","","","","","PILLALAE_00457",""
"group_618","","hypothetical protein","2","2","1","2","2003","3","98","","338","338","338","AJPKBNED_01927","","","","","","PILLALAE_00454",""
"group_690","","hypothetical protein","2","2","1","2","405","2","232","","554","554","554","","JABOOPHC_02064","","","","PNEBEOAF_01791","",""
"group_691","","hypothetical protein","2","2","1","2","406","2","233","","776","776","776","","JABOOPHC_02065","","","","PNEBEOAF_01794","",""
"group_692","","hypothetical protein","2","2","1","2","407","2","236","","485","485","485","","JABOOPHC_02066","","","","PNEBEOAF_01795","",""
"xerC_4","","Tyrosine recombinase XerC","2","2","1","2","2721","3","42","","1220","1220","1220","","JABOOPHC_02294","","","HCLGMOMD_00051","","",""
"group_7","","IS6 family transposase IS431L","2","2","1","2","209","1","520","","143","674","408","AJPKBNED_00033","","","","","PNEBEOAF_02371","",""
"potE","","Putrescine transporter PotE","2","2","1","2","3096","1","110","","1328","1328","1328","","JABOOPHC_02351","","","","PNEBEOAF_02327","",""
"group_706","","hypothetical protein","2","2","1","2","3025","1","123","","104","866","485","","","OAPGLPBN_02233","","HCLGMOMD_02313","","",""
"group_707","","hypothetical protein","2","2","1","2","283","3","109","","137","176","156","","","","PLNEIAEP_00071","HCLGMOMD_00059","","",""
"group_717","","hypothetical protein","2","2","1","2","858","18","2","","731","731","731","","","","PLNEIAEP_00927","HCLGMOMD_00909","","",""
"group_719","xerC_6","Tyrosine recombinase XerC","2","2","1","2","969","8","21","","263","1175","719","","","","PLNEIAEP_01524","","","PILLALAE_01554",""
"group_720","","hypothetical protein","2","2","1","2","29","4","19","","359","359","359","","","","PLNEIAEP_02250","","PNEBEOAF_00069","",""
"group_721","","hypothetical protein","2","2","1","2","36","4","10","","905","911","908","","","","PLNEIAEP_02256","HCLGMOMD_02211","","",""
"hsdM","","Type I restriction enzyme EcoKI M protein","2","2","1","2","2824","1","444","","1514","1514","1514","","","","PLNEIAEP_02288","","","","ECPKFHDG_00048"
"group_725","","hypothetical protein","2","2","1","2","2821","1","446","","3119","3119","3119","","","","PLNEIAEP_02290","","","","ECPKFHDG_00046"
"group_726","","hypothetical protein","2","2","1","2","2811","1","465","","338","338","338","","","","PLNEIAEP_02302","","","","ECPKFHDG_00040"
"argF_2","","Ornithine carbamoyltransferase","2","2","1","2","121","1","42","","998","998","998","","","","PLNEIAEP_02332","","","","ECPKFHDG_00111"
"group_728","","hypothetical protein","2","2","1","2","182","1","517","","182","377","279","","","","PLNEIAEP_02403","","PNEBEOAF_02368","",""
"group_730","","hypothetical protein","2","2","1","2","137","1","344","","224","290","257","","","","PLNEIAEP_02409","","","PILLALAE_02391",""
"hin","","DNA-invertase hin","2","2","1","2","3067","1","346","","548","548","548","","","","PLNEIAEP_02411","","","PILLALAE_02389",""
"group_732","","hypothetical protein","2","2","1","2","3074","1","379","","794","794","794","","","","PLNEIAEP_02418","","","PILLALAE_02380",""
"group_733","","hypothetical protein","2","2","1","2","3042","1","360","","2042","2042","2042","","","","PLNEIAEP_02437","","PNEBEOAF_02307","",""
"group_734","","hypothetical protein","2","2","1","2","2991","1","147","","254","416","335","","","","PLNEIAEP_02454","","PNEBEOAF_02313","",""
"group_735","","hypothetical protein","2","2","1","2","3009","1","395","","728","728","728","","","","PLNEIAEP_02457","","PNEBEOAF_02316","",""
"group_736","bcrA_1","Bacitracin transport ATP-binding protein BcrA","2","2","1","2","3008","1","407","","863","863","863","","","","PLNEIAEP_02458","","PNEBEOAF_02317","",""
"group_737","","hypothetical protein","2","2","1","2","172","1","334","","392","392","392","","","","PLNEIAEP_02464","","PNEBEOAF_02340","",""
"group_738","","hypothetical protein","2","2","1","2","173","1","335","","971","971","971","","","","PLNEIAEP_02465","","PNEBEOAF_02341","",""
"group_741","","hypothetical protein","2","2","1","2","288","3","104","","362","362","362","","","","","HCLGMOMD_00064","","PILLALAE_00451",""
"group_742","","putative protein","2","2","1","2","6","1","223","","668","755","711","","","","","HCLGMOMD_02219","","","ECPKFHDG_00145"
"group_745","","hypothetical protein","2","2","1","2","131","1","28","","137","293","215","","","","","","PNEBEOAF_00044","","ECPKFHDG_00121"
"group_746","","hypothetical protein","2","2","1","2","844","2","111","","410","410","410","","","","","","PNEBEOAF_01749","PILLALAE_00562",""
"group_747","","hypothetical protein","2","2","1","2","807","2","136","","185","185","185","","","","","","PNEBEOAF_01762","PILLALAE_00549",""
"group_748","","hypothetical protein","2","2","1","2","804","2","139","","404","404","404","","","","","","PNEBEOAF_01765","PILLALAE_00546",""
"group_749","","hypothetical protein","2","2","1","2","803","2","140","","329","329","329","","","","","","PNEBEOAF_01766","PILLALAE_00545",""
"group_750","","hypothetical protein","2","2","1","2","814","2","103","","1751","1757","1754","","","","","","PNEBEOAF_01772","PILLALAE_00539",""
"group_751","","hypothetical protein","2","2","1","2","813","2","102","","470","470","470","","","","","","PNEBEOAF_01773","PILLALAE_00538",""
"group_752","","hypothetical protein","2","2","1","2","381","2","151","","140","140","140","","","","","","PNEBEOAF_01777","PILLALAE_00535",""
"group_753","","hypothetical protein","2","2","1","2","382","2","152","","302","302","302","","","","","","PNEBEOAF_01778","PILLALAE_00534",""
"dut","","Deoxyuridine 5'-triphosphate nucleotidohydrolase","2","2","1","2","383","2","153","","422","422","422","","","","","","PNEBEOAF_01779","PILLALAE_00533",""
"group_755","","hypothetical protein","2","2","1","2","384","2","154","","260","260","260","","","","","","PNEBEOAF_01780","PILLALAE_00532",""
"group_756","","hypothetical protein","2","2","1","2","326","2","235","","254","263","258","","","","","","PNEBEOAF_01796","PILLALAE_00517",""
"group_779","","hypothetical protein","2","2","1","2","192","1","493","","266","266","266","AJPKBNED_00050","","","","HCLGMOMD_02278","","",""
"group_780","","hypothetical protein","2","2","1","2","191","1","492","","623","623","623","AJPKBNED_00051","","","","HCLGMOMD_02277","","",""
"group_781","","hypothetical protein","2","2","1","2","22","1","490","","1871","1871","1871","AJPKBNED_00054","","","","HCLGMOMD_02276","","",""
"group_782","","hypothetical protein","2","2","1","2","21","1","200","","2954","2954","2954","AJPKBNED_00055","","","","HCLGMOMD_02275","","",""
"group_783","","hypothetical protein","2","2","1","2","20","1","201","","1289","1289","1289","AJPKBNED_00056","","","","HCLGMOMD_02274","","",""
"group_784","","hypothetical protein","2","2","1","2","19","1","202","","1874","1874","1874","AJPKBNED_00057","","","","HCLGMOMD_02273","","",""
"group_785","","hypothetical protein","2","2","1","2","18","1","203","","512","512","512","AJPKBNED_00058","","","","HCLGMOMD_02272","","",""
"group_786","","hypothetical protein","2","2","1","2","68","1","204","","308","308","308","AJPKBNED_00059","","","","HCLGMOMD_02271","","",""
"group_787","","hypothetical protein","2","2","1","2","69","1","205","","89","89","89","AJPKBNED_00060","","","","HCLGMOMD_02270","","",""
"group_788","","hypothetical protein","2","2","1","2","70","1","206","","350","350","350","AJPKBNED_00061","","","","HCLGMOMD_02269","","",""
"group_789","","hypothetical protein","2","2","1","2","71","1","207","","1628","1628","1628","AJPKBNED_00062","","","","HCLGMOMD_02268","","",""
"group_79","","IS110 family transposase ISSep2","2","2","1","2","3180","256","1","","1073","1073","1073","","","OAPGLPBN_00159","","","","","ECPKFHDG_00263"
"group_790","","hypothetical protein","2","2","1","2","72","1","208","","1349","1349","1349","AJPKBNED_00063","","","","HCLGMOMD_02267","","",""
"group_791","","hypothetical protein","2","2","1","2","73","1","209","","257","257","257","AJPKBNED_00064","","","","HCLGMOMD_02266","","",""
"group_792","","hypothetical protein","2","2","1","2","74","1","210","","1790","1790","1790","AJPKBNED_00065","","","","HCLGMOMD_02265","","",""
"group_793","","hypothetical protein","2","2","1","2","75","1","211","","293","293","293","AJPKBNED_00066","","","","HCLGMOMD_02264","","",""
"group_794","","hypothetical protein","2","2","1","2","76","1","212","","1511","1511","1511","AJPKBNED_00067","","","","HCLGMOMD_02263","","",""
"group_795","","hypothetical protein","2","2","1","2","78","1","214","","236","236","236","AJPKBNED_00069","","","","HCLGMOMD_02261","","",""
"group_821","","hypothetical protein","2","2","1","2","3140","14","2","","854","854","854","AJPKBNED_00241","","","","","","PILLALAE_02139",""
"group_823","","hypothetical protein","2","2","1","2","3115","1","179","","899","899","899","AJPKBNED_00259","","","","","","PILLALAE_02121",""
"group_825","","hypothetical protein","2","2","1","2","2921","1","181","","797","797","797","AJPKBNED_00262","","","","","","PILLALAE_02118",""
"group_826","","hypothetical protein","2","2","1","2","2920","1","273","","488","488","488","AJPKBNED_00263","","","","","","PILLALAE_02117",""
"group_83","","IS110 family transposase ISSep2","2","2","1","2","2332","1","192","","590","1073","831","AJPKBNED_00555","","","PLNEIAEP_02267","","","",""
"group_833","","hypothetical protein","2","2","1","2","2905","1","259","","1772","1772","1772","AJPKBNED_00272","","","","","","PILLALAE_02109",""
"group_836","","hypothetical protein","2","2","1","2","2343","110","1","","836","836","836","AJPKBNED_00418","","","","","","PILLALAE_01965",""
"group_846","","hypothetical protein","2","2","1","2","2281","43","1","","167","167","167","AJPKBNED_00617","","","","","","PILLALAE_01768",""
"group_85","","hypothetical protein","2","2","1","2","2110","30","3","","203","203","203","","JABOOPHC_00643","","","","PNEBEOAF_00624","",""
"group_851","","hypothetical protein","2","2","1","2","906","68","1","","104","104","104","AJPKBNED_00797","","","","","","PILLALAE_01587",""
"group_855","","hypothetical protein","2","2","1","2","960","8","1","","1073","1073","1073","AJPKBNED_00830","","","","","","PILLALAE_01531",""
"group_910","","hypothetical protein","2","2","1","2","798","2","26","","89","89","89","AJPKBNED_01688","","","","","","PILLALAE_00674",""
"group_914","","hypothetical protein","2","2","1","2","794","2","36","","353","353","353","AJPKBNED_01692","JABOOPHC_02014","","","","","",""
"group_916","","hypothetical protein","2","2","1","2","784","2","40","","398","398","398","AJPKBNED_01695","JABOOPHC_02017","","","","","",""
"group_917","","hypothetical protein","2","2","1","2","783","2","41","","422","422","422","AJPKBNED_01696","JABOOPHC_02018","","","","","",""
"group_919","","hypothetical protein","2","2","1","2","781","2","43","","1883","1883","1883","AJPKBNED_01698","JABOOPHC_02020","","","","","",""
"group_920","","hypothetical protein","2","2","1","2","779","2","45","","956","956","956","AJPKBNED_01700","JABOOPHC_02022","","","","","",""
"group_93","","hypothetical protein","2","2","1","2","869","109","1","","254","254","254","AJPKBNED_01255","","","","","","PILLALAE_01106",""
"group_943","","hypothetical protein","2","2","1","2","347","2","78","","398","398","398","AJPKBNED_01732","JABOOPHC_02048","","","","","",""
"group_944","","hypothetical protein","2","2","1","2","349","2","79","","179","179","179","AJPKBNED_01733","JABOOPHC_02049","","","","","",""
"group_969","xerC_4","Tyrosine recombinase XerC","2","2","1","2","747","2","212","","1049","1049","1049","AJPKBNED_01761","","","PLNEIAEP_00610","","","",""
"group_10","","IS3 family transposase ISSau4","1","1","1","2","8","1","486","","425","425","425","","","","PLNEIAEP_02246","","","",""
"group_100","","hypothetical protein","1","1","1","2","1510","288","1","","122","122","122","","","","","","PNEBEOAF_01329","",""
"glpE_1","","Thiosulfate sulfurtransferase GlpE","1","1","1","2","61","1","433","","1067","1067","1067","","JABOOPHC_00042","","","","","",""
"group_1020","","putative protein","1","1","1","2","5","1","227","","785","785","785","","JABOOPHC_00053","","","","","",""
"group_1022","","hypothetical protein","1","1","1","2","3167","234","1","","4943","4943","4943","","JABOOPHC_00179","","","","","",""
"group_1025","","hypothetical protein","1","1","1","2","2890","1","399","","599","599","599","","JABOOPHC_00221","","","","","",""
"group_1026","","hypothetical protein","1","1","1","2","3000","1","400","","731","731","731","","JABOOPHC_00222","","","","","",""
"pbuE_1","","Purine efflux pump PbuE","1","1","1","2","2998","1","398","","1139","1139","1139","","JABOOPHC_00224","","","","","",""
"group_1028","","hypothetical protein","1","1","1","2","2997","1","397","","245","245","245","","JABOOPHC_00225","","","","","",""
"group_1029","","hypothetical protein","1","1","1","2","2996","1","396","","92","92","92","","JABOOPHC_00226","","","","","",""
"group_103","cinA","Putative competence-damage inducible protein","1","1","1","2","853","91","1","","770","770","770","AJPKBNED_01463","","","","","","",""
"group_1030","","hypothetical protein","1","1","1","2","2995","1","12","","149","149","149","","JABOOPHC_00227","","","","","",""
"group_1031","","hypothetical protein","1","1","1","2","2994","1","13","","230","230","230","","JABOOPHC_00228","","","","","",""
"group_1032","","hypothetical protein","1","1","1","2","102","1","14","","167","167","167","","JABOOPHC_00229","","","","","",""
"group_1033","","hypothetical protein","1","1","1","2","103","1","15","","344","344","344","","JABOOPHC_00230","","","","","",""
"group_1034","","hypothetical protein","1","1","1","2","104","1","16","","149","149","149","","JABOOPHC_00231","","","","","",""
"group_1035","","hypothetical protein","1","1","1","2","105","1","17","","101","101","101","","JABOOPHC_00232","","","","","",""
"cadC_1","","Cadmium resistance transcriptional regulatory protein CadC","1","1","1","2","106","1","18","","215","215","215","","JABOOPHC_00233","","","","","",""
"group_1037","","hypothetical protein","1","1","1","2","107","1","19","","134","134","134","","JABOOPHC_00234","","","","","",""
"tri1","","ADP-ribosylarginine hydrolase Tri1","1","1","1","2","127","1","35","","986","986","986","","JABOOPHC_00238","","","","","",""
"group_1040","","hypothetical protein","1","1","1","2","2891","1","34","","1334","1334","1334","","JABOOPHC_00239","","","","","",""
"rbsK_1","","Ribokinase","1","1","1","2","2892","1","33","","938","938","938","","JABOOPHC_00240","","","","","",""
"group_1042","","hypothetical protein","1","1","1","2","2893","1","32","","185","185","185","","JABOOPHC_00241","","","","","",""
"prkC_2","","Serine/threonine-protein kinase PrkC","1","1","1","2","1666","130","1","","272","272","272","AJPKBNED_01527","","","","","","",""
"group_1056","","hypothetical protein","1","1","1","2","846","251","1","","116","116","116","","JABOOPHC_01647","","","","","",""
"group_1058","","hypothetical protein","1","1","1","2","789","2","31","","1403","1403","1403","","JABOOPHC_02009","","","","","",""
"group_1059","","hypothetical protein","1","1","1","2","790","2","32","","269","269","269","","JABOOPHC_02010","","","","","",""
"group_1060","","hypothetical protein","1","1","1","2","791","2","33","","530","530","530","","JABOOPHC_02011","","","","","",""
"group_1061","","hypothetical protein","1","1","1","2","792","2","34","","509","509","509","","JABOOPHC_02012","","","","","",""
"group_1062","","hypothetical protein","1","1","1","2","793","2","35","","146","146","146","","JABOOPHC_02013","","","","","",""
"group_1063","","hypothetical protein","1","1","1","2","787","2","38","","1115","1115","1115","","JABOOPHC_02015","","","","","",""
"group_1064","","hypothetical protein","1","1","1","2","782","2","25","","1187","1187","1187","","JABOOPHC_02019","","","","","",""
"group_1065","","hypothetical protein","1","1","1","2","778","2","24","","3851","3851","3851","","JABOOPHC_02023","","","","","",""
"group_1066","","hypothetical protein","1","1","1","2","772","2","23","","557","557","557","","JABOOPHC_02026","","","","","",""
"group_1067","","hypothetical protein","1","1","1","2","771","2","22","","389","389","389","","JABOOPHC_02027","","","","","",""
"group_1068","","hypothetical protein","1","1","1","2","770","2","52","","686","686","686","","JABOOPHC_02028","","","","","",""
"group_1069","","hypothetical protein","1","1","1","2","769","2","53","","269","269","269","","JABOOPHC_02029","","","","","",""
"group_1070","","hypothetical protein","1","1","1","2","765","2","21","","929","929","929","","JABOOPHC_02033","","","","","",""
"group_1071","","hypothetical protein","1","1","1","2","757","2","59","","143","143","143","","JABOOPHC_02035","","","","","",""
"group_1072","","hypothetical protein","1","1","1","2","758","2","58","","545","545","545","","JABOOPHC_02036","","","","","",""
"group_1073","","hypothetical protein","1","1","1","2","759","2","20","","938","938","938","","JABOOPHC_02037","","","","","",""
"group_1074","","hypothetical protein","1","1","1","2","751","2","19","","1295","1295","1295","","JABOOPHC_02039","","","","","",""
"group_1075","","hypothetical protein","1","1","1","2","333","2","18","","344","344","344","","JABOOPHC_02040","","","","","",""
"group_1076","","hypothetical protein","1","1","1","2","334","2","17","","401","401","401","","JABOOPHC_02041","","","","","",""
"group_1077","","hypothetical protein","1","1","1","2","332","2","73","","170","170","170","","JABOOPHC_02043","","","","","",""
"group_1078","dut","Deoxyuridine 5'-triphosphate nucleotidohydrolase","1","1","1","2","331","2","74","","548","548","548","","JABOOPHC_02044","","","","","",""
"group_1079","","hypothetical protein","1","1","1","2","344","2","75","","155","155","155","","JABOOPHC_02045","","","","","",""
"group_1080","","hypothetical protein","1","1","1","2","345","2","76","","302","302","302","","JABOOPHC_02046","","","","","",""
"group_1081","","hypothetical protein","1","1","1","2","350","2","9","","197","197","197","","JABOOPHC_02050","","","","","",""
"group_1082","","hypothetical protein","1","1","1","2","351","2","8","","614","614","614","","JABOOPHC_02051","","","","","",""
"group_1083","","hypothetical protein","1","1","1","2","352","2","7","","230","230","230","","JABOOPHC_02052","","","","","",""
"group_1084","","hypothetical protein","1","1","1","2","353","2","161","","443","443","443","","JABOOPHC_02053","","","","","",""
"group_1085","","hypothetical protein","1","1","1","2","354","2","162","","359","359","359","","JABOOPHC_02054","","","","","",""
"group_1086","","hypothetical protein","1","1","1","2","355","2","163","","197","197","197","","JABOOPHC_02055","","","","","",""
"group_1087","","hypothetical protein","1","1","1","2","356","2","164","","407","407","407","","JABOOPHC_02056","","","","","",""
"group_1088","","hypothetical protein","1","1","1","2","390","2","165","","161","161","161","","JABOOPHC_02058","","","","","",""
"group_1089","","hypothetical protein","1","1","1","2","399","2","229","","773","773","773","","JABOOPHC_02061","","","","","",""
"group_1090","","hypothetical protein","1","1","1","2","398","2","230","","230","230","230","","JABOOPHC_02062","","","","","",""
"group_1091","","hypothetical protein","1","1","1","2","397","2","231","","686","686","686","","JABOOPHC_02063","","","","","",""
"group_1092","","hypothetical protein","1","1","1","2","408","2","237","","251","251","251","","JABOOPHC_02067","","","","","",""
"group_1093","","hypothetical protein","1","1","1","2","409","2","238","","176","176","176","","JABOOPHC_02068","","","","","",""
"group_1094","","hypothetical protein","1","1","1","2","410","2","239","","95","95","95","","JABOOPHC_02069","","","","","",""
"group_1095","","hypothetical protein","1","1","1","2","411","2","240","","164","164","164","","JABOOPHC_02070","","","","","",""
"group_1096","","hypothetical protein","1","1","1","2","412","2","241","","752","752","752","","JABOOPHC_02071","","","","","",""
"group_1097","","hypothetical protein","1","1","1","2","413","2","242","","446","446","446","","JABOOPHC_02072","","","","","",""
"group_1098","","hypothetical protein","1","1","1","2","414","2","243","","218","218","218","","JABOOPHC_02073","","","","","",""
"group_1099","","hypothetical protein","1","1","1","2","415","2","244","","311","311","311","","JABOOPHC_02074","","","","","",""
"group_11","","IS3 family transposase ISSau4","1","1","1","2","9","1","485","","389","389","389","","","","PLNEIAEP_02245","","","",""
"rclA_1","","putative pyridine nucleotide-disulfide oxidoreductase RclA","1","1","1","2","788","2","30","","140","140","140","","JABOOPHC_02008","","","","","",""
"group_1100","","hypothetical protein","1","1","1","2","416","2","245","","452","452","452","","JABOOPHC_02075","","","","","",""
"group_1101","","hypothetical protein","1","1","1","2","417","2","3","","524","524","524","","JABOOPHC_02076","","","","","",""
"group_1102","","hypothetical protein","1","1","1","2","418","2","2","","605","605","605","","JABOOPHC_02077","","","","","",""
"group_1103","","hypothetical protein","1","1","1","2","419","2","1","","1376","1376","1376","","JABOOPHC_02078","","","","","",""
"group_1107","","hypothetical protein","1","1","1","2","252","3","18","","644","644","644","","JABOOPHC_02283","","","","","",""
"group_1108","","hypothetical protein","1","1","1","2","267","3","26","","260","260","260","","JABOOPHC_02287","","","","","",""
"group_1109","","hypothetical protein","1","1","1","2","266","3","25","","200","200","200","","JABOOPHC_02288","","","","","",""
